Quantum 1,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 0 ,0,0,0,0,0
Router 19 ,0,0,0,0,0
Router 20 ,0,0,0,0,0
Router 21 ,0,0,0,0,0
Router 22 ,0,0,0,0,0
Router 23 ,0,0,0,0,0
Router 24 ,0,0,0,0,0
Quantum 2,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,0,0,0,0,0
Router 3 ,0,0,0,0,0
Router 4 ,0,0,0,0,0
Router 5 ,0,0,0,0,0
Router 6 ,0,0,0,0,0
Router 7 ,0,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,0,0,0,0,0
Router 10 ,0,0,0,0,0
Router 11 ,0,0,0,0,0
Router 12 ,0,0,0,0,0
Router 13 ,0,0,0,0,0
Router 14 ,0,0,0,0,0
Router 15 ,0,0,0,0,0
Router 16 ,0,0,0,0,0
Router 17 ,0,0,0,0,0
Router 18 ,0,0,0,0,0
Router 19 ,0,0,0,0,0
Router 20 ,0,0,0,0,0
Router 21 ,0,0,0,0,0
Router 22 ,0,0,0,0,0
Router 23 ,0,0,0,0,0
Router 24 ,0,0,0,0,0
Quantum 3,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,7,0,0,0
Router 1 ,0,7,0,0,0
Router 2 ,0,0,0,7,0
Router 3 ,0,0,7,0,0
Router 4 ,0,0,7,0,0
Router 5 ,0,7,0,0,0
Router 6 ,0,7,0,0,0
Router 7 ,0,0,0,7,0
Router 8 ,0,0,7,0,0
Router 9 ,0,0,7,0,0
Router 10 ,0,7,0,0,0
Router 11 ,0,7,0,0,0
Router 12 ,0,0,0,7,0
Router 13 ,0,0,7,0,0
Router 14 ,0,0,7,0,0
Router 15 ,0,7,0,0,0
Router 16 ,0,7,0,0,0
Router 17 ,0,0,0,143,0
Router 18 ,0,0,7,0,0
Router 19 ,0,0,7,0,0
Router 20 ,0,7,0,0,0
Router 21 ,0,7,0,0,0
Router 22 ,143,0,0,0,0
Router 23 ,0,0,7,0,0
Router 24 ,0,0,7,0,0
Quantum 4,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,0,0,0,0,0
Router 3 ,0,0,0,0,0
Router 4 ,0,0,0,0,0
Router 5 ,0,0,0,0,0
Router 6 ,0,0,0,0,0
Router 7 ,0,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,0,0,0,0,0
Router 10 ,0,0,0,0,0
Router 11 ,0,0,0,0,0
Router 12 ,0,0,0,7,0
